Name,Gender,PB,SB,Race,Place,100m,200m,300m,400m,500m,600m,700m,800m,900m,1000m,1100m,1200m,1300m,1400m,1500m
Anna JUUL,w,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,1,UNKOWN,UNKOWN,50.79,UNKOWN,UNKOWN,UNKOWN,2:03.09,UNKOWN,UNKOWN,UNKOWN,3:14.54,UNKOWN,UNKOWN,UNKOWN,4:21.76
Hayley JACKSON,w,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,2,UNKOWN,UNKOWN,50.81,UNKOWN,UNKOWN,UNKOWN,2:02.41,UNKOWN,UNKOWN,UNKOWN,3:14.18,UNKOWN,UNKOWN,UNKOWN,4:25.02
Annie FANTA,w,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,3,UNKOWN,UNKOWN,50.60,UNKOWN,UNKOWN,UNKOWN,2:02.81,UNKOWN,UNKOWN,UNKOWN,3:14.55,UNKOWN,UNKOWN,UNKOWN,4:25.24
Johanna SCHULZ,w,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,4,UNKOWN,UNKOWN,50.23,UNKOWN,UNKOWN,UNKOWN,2:02.26,UNKOWN,UNKOWN,UNKOWN,3:14.37,UNKOWN,UNKOWN,UNKOWN,4:25.26
Erin MCDONALD,w,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,5,UNKOWN,UNKOWN,50.59,UNKOWN,UNKOWN,UNKOWN,2:02.21,UNKOWN,UNKOWN,UNKOWN,3:14.08,UNKOWN,UNKOWN,UNKOWN,4:25.30
Kayla KAVULICH,w,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,6,UNKOWN,UNKOWN,51.01,UNKOWN,UNKOWN,UNKOWN,2:02.58,UNKOWN,UNKOWN,UNKOWN,3:14.26,UNKOWN,UNKOWN,UNKOWN,4:25.75
Abbe GOLDSTEIN,w,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,7,UNKOWN,UNKOWN,50.97,UNKOWN,UNKOWN,UNKOWN,2:03.04,UNKOWN,UNKOWN,UNKOWN,3:14.75,UNKOWN,UNKOWN,UNKOWN,4:27.71
Annie TAYLOR,w,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,8,UNKOWN,UNKOWN,50.53,UNKOWN,UNKOWN,UNKOWN,2:02.83,UNKOWN,UNKOWN,UNKOWN,3:15.05,UNKOWN,UNKOWN,UNKOWN,4:30.92
Miranda SALVO,w,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,9,UNKOWN,UNKOWN,50.40,UNKOWN,UNKOWN,UNKOWN,2:02.65,UNKOWN,UNKOWN,UNKOWN,3:15.27,UNKOWN,UNKOWN,UNKOWN,4:36.80
Christine LAURIE,w,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,10,UNKOWN,UNKOWN,50.33,UNKOWN,UNKOWN,UNKOWN,2:02.61,UNKOWN,UNKOWN,UNKOWN,3:15.93,UNKOWN,UNKOWN,UNKOWN,4:40.57
Jake BROPHY,m,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,1,UNKOWN,UNKOWN,44.12,UNKOWN,UNKOWN,UNKOWN,1:46.35,UNKOWN,UNKOWN,UNKOWN,2:48.64,UNKOWN,UNKOWN,UNKOWN,3:47.19
Allen SIEGLER,m,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,2,UNKOWN,UNKOWN,44.65,UNKOWN,UNKOWN,UNKOWN,1:46.94,UNKOWN,UNKOWN,UNKOWN,2:48.94,UNKOWN,UNKOWN,UNKOWN,3:47.64
Nate SLOAN,m,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,3,UNKOWN,UNKOWN,44.28,UNKOWN,UNKOWN,UNKOWN,1:46.51,UNKOWN,UNKOWN,UNKOWN,2:48.43,UNKOWN,UNKOWN,UNKOWN,3:48.05
Spencer DODDS,m,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,4,UNKOWN,UNKOWN,44.41,UNKOWN,UNKOWN,UNKOWN,1:46.66,UNKOWN,UNKOWN,UNKOWN,2:48.87,UNKOWN,UNKOWN,UNKOWN,3:48.21
James ABRAHAMS,m,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,5,UNKOWN,UNKOWN,45.10,UNKOWN,UNKOWN,UNKOWN,1:46.83,UNKOWN,UNKOWN,UNKOWN,2:49.29,UNKOWN,UNKOWN,UNKOWN,3:48.32
Brandon HONTZ,m,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,6,UNKOWN,UNKOWN,44.92,UNKOWN,UNKOWN,UNKOWN,1:46.88,UNKOWN,UNKOWN,UNKOWN,2:49.15,UNKOWN,UNKOWN,UNKOWN,3:49.58
Alex MILLIGAN,m,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,7,UNKOWN,UNKOWN,44.82,UNKOWN,UNKOWN,UNKOWN,1:47.01,UNKOWN,UNKOWN,UNKOWN,2:48.74,UNKOWN,UNKOWN,UNKOWN,3:51.78
Owen WING,m,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,8,UNKOWN,UNKOWN,44.94,UNKOWN,UNKOWN,UNKOWN,1:47.08,UNKOWN,UNKOWN,UNKOWN,2:49.49,UNKOWN,UNKOWN,UNKOWN,3:52.77
Michael PHILLIPS,m,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,9,UNKOWN,UNKOWN,44.82,UNKOWN,UNKOWN,UNKOWN,1:47.09,UNKOWN,UNKOWN,UNKOWN,2:49.39,UNKOWN,UNKOWN,UNKOWN,3:55.12
Isaiah CLAIBORNE,m,UNKOWN,UNKOWN,VirginiaChallengeS2 2019 1500m Final,10,UNKOWN,UNKOWN,44.52,UNKOWN,UNKOWN,UNKOWN,1:46.76,UNKOWN,UNKOWN,UNKOWN,2:49.28,UNKOWN,UNKOWN,UNKOWN,3:58.98
Brian COOK,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,1,UNKOWN,UNKOWN,46.31,UNKOWN,UNKOWN,UNKOWN,1:53.15,UNKOWN,UNKOWN,UNKOWN,2:54.95,UNKOWN,UNKOWN,UNKOWN,3:52.67
Zachary MICHON,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,2,UNKOWN,UNKOWN,46.42,UNKOWN,UNKOWN,UNKOWN,1:53.33,UNKOWN,UNKOWN,UNKOWN,2:55.12,UNKOWN,UNKOWN,UNKOWN,3:52.95
John WALKER,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,3,UNKOWN,UNKOWN,46.22,UNKOWN,UNKOWN,UNKOWN,1:53.32,UNKOWN,UNKOWN,UNKOWN,2:55.13,UNKOWN,UNKOWN,UNKOWN,3:53.24
Colin CANNON,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,4,UNKOWN,UNKOWN,46.40,UNKOWN,UNKOWN,UNKOWN,1:53.52,UNKOWN,UNKOWN,UNKOWN,2:55.17,UNKOWN,UNKOWN,UNKOWN,3:54.00
Matt PREST,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,5,UNKOWN,UNKOWN,46.37,UNKOWN,UNKOWN,UNKOWN,1:53.76,UNKOWN,UNKOWN,UNKOWN,2:55.77,UNKOWN,UNKOWN,UNKOWN,3:54.37
Kellen WATERS,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,6,UNKOWN,UNKOWN,46.14,UNKOWN,UNKOWN,UNKOWN,1:53.30,UNKOWN,UNKOWN,UNKOWN,2:55.55,UNKOWN,UNKOWN,UNKOWN,3:54.54
Sean SULLIVAN,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,7,UNKOWN,UNKOWN,46.62,UNKOWN,UNKOWN,UNKOWN,1:53.29,UNKOWN,UNKOWN,UNKOWN,2:55.26,UNKOWN,UNKOWN,UNKOWN,3:54.81
Will SPONAUGLE,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,8,UNKOWN,UNKOWN,46.58,UNKOWN,UNKOWN,UNKOWN,1:53.50,UNKOWN,UNKOWN,UNKOWN,2:55.66,UNKOWN,UNKOWN,UNKOWN,3:56.28
Kevin GANAHL,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,9,UNKOWN,UNKOWN,46.36,UNKOWN,UNKOWN,UNKOWN,1:53.48,UNKOWN,UNKOWN,UNKOWN,2:55.80,UNKOWN,UNKOWN,UNKOWN,3:59.59
Luke JACIW-ZURAKOWSKY,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,10,UNKOWN,UNKOWN,46.19,UNKOWN,UNKOWN,UNKOWN,1:53.09,UNKOWN,UNKOWN,UNKOWN,2:55.00,UNKOWN,UNKOWN,UNKOWN,4:01.13
Jake LONSDALE,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,11,UNKOWN,UNKOWN,46.53,UNKOWN,UNKOWN,UNKOWN,1:53.61,UNKOWN,UNKOWN,UNKOWN,2:55.43,UNKOWN,UNKOWN,UNKOWN,4:02.27
Zachary FRAHLICH,m,UNKOWN,UNKOWN,A10s3 2019 1500m Final,12,UNKOWN,UNKOWN,46.83,UNKOWN,UNKOWN,UNKOWN,1:53.98,UNKOWN,UNKOWN,UNKOWN,2:58.27,UNKOWN,UNKOWN,UNKOWN,4:05.31
Deshawn OWENS,m,UNKOWN,UNKOWN,DukeInviteS7 2019 1500m Final,1,UNKOWN,UNKOWN,50.52,UNKOWN,UNKOWN,UNKOWN,1:57.05,UNKOWN,UNKOWN,UNKOWN,3:03.99,UNKOWN,UNKOWN,UNKOWN,4:11.57
Nicholas LEEK,m,UNKOWN,UNKOWN,DukeInviteS7 2019 1500m Final,2,UNKOWN,UNKOWN,49.82,UNKOWN,UNKOWN,UNKOWN,1:57.41,UNKOWN,UNKOWN,UNKOWN,3:05.62,UNKOWN,UNKOWN,UNKOWN,4:12.68
Juan CISNEROS,m,UNKOWN,UNKOWN,DukeInviteS7 2019 1500m Final,3,UNKOWN,UNKOWN,50.83,UNKOWN,UNKOWN,UNKOWN,1:57.43,UNKOWN,UNKOWN,UNKOWN,3:04.25,UNKOWN,UNKOWN,UNKOWN,4:12.73
